CODE,DESCRIPTION
F1429,COCAINE DEPENDENCE WITH UNSPECIFIED COCAINE-INDUCED DISORDER
F1494,"COCAINE USE, UNSPECIFIED WITH COCAINE-INDUCED MOOD DISORDER"
F1510,"OTHER STIMULANT ABUSE, UNCOMPLICATED"
F1528,OTH STIMULANT DEPENDENCE WITH OTH STIMULANT-INDUCED DISORDER
F1991,"OTHER PSYCHOACTIVE SUBSTANCE USE, UNSPECIFIED, IN REMISSION"
F1993,"OTHER PSYCHOACTIVE SUBSTANCE USE, UNSP WITH WITHDRAWAL"
F205,RESIDUAL SCHIZOPHRENIA
F3010,"MANIC EPISODE WITHOUT PSYCHOTIC SYMPTOMS, UNSPECIFIED"
F302,"MANIC EPISODE, SEVERE WITH PSYCHOTIC SYMPTOMS"
F3112,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, MOD"
F3161,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, MILD"
F321,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE"
F341,DYSTHYMIC DISORDER
F39,UNSPECIFIED MOOD [AFFECTIVE] DISORDER
F4023,"BLOOD, INJECTION, INJURY TYPE PHOBIA"
F410,PANIC DISORDER [EPISODIC PAROXYSMAL ANXIETY]
F4381,PROLONGED GRIEF DISORDER
F447,CONVERSION DISORDER WITH MIXED SYMPTOM PRESENTATION
F502,BULIMIA NERVOSA
F5089,OTHER SPECIFIED EATING DISORDER
F5119,OTH HYPERSOMNIA NOT DUE TO A SUBSTANCE OR KNOWN PHYSIOL COND
F659,"PARAPHILIA, UNSPECIFIED"
F70,MILD INTELLECTUAL DISABILITIES
F72,SEVERE INTELLECTUAL DISABILITIES
F78A9,OTHER GENETIC RELATED INTELLECTUAL DISABILITY
F800,PHONOLOGICAL DISORDER
F8081,CHILDHOOD ONSET FLUENCY DISORDER
F845,ASPERGER'S SYNDROME
F901,"ATTN-DEFCT HYPERACTIVITY DISORDER, PREDOM HYPERACTIVE TYPE"
G000,HEMOPHILUS MENINGITIS
G009,"BACTERIAL MENINGITIS, UNSPECIFIED"
G042,"BACTERIAL MENINGOENCEPHALITIS AND MENINGOMYELITIS, NEC"
G112,LATE-ONSET CEREBELLAR ATAXIA
G210,MALIGNANT NEUROLEPTIC SYNDROME
G2401,DRUG INDUCED SUBACUTE DYSKINESIA
G253,MYOCLONUS
G3101,PICK'S DISEASE
G3289,OTH DEGENERATV DISORD OF NERVOUS SYS IN DIS CLASSD ELSWHR
G4089,OTHER SEIZURES
G4310,"MIGRAINE WITH AURA, NOT INTRACTABLE"
G4341,"HEMIPLEGIC MIGRAINE, INTRACTABLE"
G4381,"OTHER MIGRAINE, INTRACTABLE"
G4382,"MENSTRUAL MIGRAINE, NOT INTRACTABLE"
G43A1,"CYCLICAL VOMITING, IN MIGRAINE, INTRACTABLE"
G4431,ACUTE POST-TRAUMATIC HEADACHE
G451,CAROTID ARTERY SYNDROME (HEMISPHERIC)
G4723,"CIRCADIAN RHYTHM SLEEP DISORDER, IRREGULAR SLEEP WAKE TYPE"
G513,CLONIC HEMIFACIAL SPASM
G53,CRANIAL NERVE DISORDERS IN DISEASES CLASSIFIED ELSEWHERE
G55,NERVE ROOT AND PLEXUS COMPRESSIONS IN DISEASES CLASSD ELSWHR
G5600,"CARPAL TUNNEL SYNDROME, UNSPECIFIED UPPER LIMB"
G5681,OTHER SPECIFIED MONONEUROPATHIES OF RIGHT UPPER LIMB
G5700,"LESION OF SCIATIC NERVE, UNSPECIFIED LOWER LIMB"
G5702,"LESION OF SCIATIC NERVE, LEFT LOWER LIMB"
G5740,"LESION OF MEDIAL POPLITEAL NERVE, UNSPECIFIED LOWER LIMB"
G5741,"LESION OF MEDIAL POPLITEAL NERVE, RIGHT LOWER LIMB"
G5783,OTHER SPECIFIED MONONEUROPATHIES OF BILATERAL LOWER LIMBS
G589,"MONONEUROPATHY, UNSPECIFIED"
G601,REFSUM'S DISEASE
G7111,MYOTONIC MUSCULAR DYSTROPHY
G7249,"OTH INFLAMMATORY AND IMMUNE MYOPATHIES, NEC"
G8113,SPASTIC HEMIPLEGIA AFFECTING RIGHT NONDOMINANT SIDE
D8181,BIOTIN-DEPENDENT CARBOXYLASE DEFICIENCY
E7031,OCULAR ALBINISM
F1698,"HALLUCINOGEN USE, UNSP W OTH HALLUCINOGEN-INDUCED DISORDER"
G8253,"QUADRIPLEGIA, C5-C7 COMPLETE"
G835,LOCKED-IN STATE
G890,CENTRAL PAIN SYNDROME
G902,HORNER'S SYNDROME
G9052,COMPLEX REGIONAL PAIN SYNDROME I OF LOWER LIMB
G90A,POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME [POTS]
G910,COMMUNICATING HYDROCEPHALUS
G911,OBSTRUCTIVE HYDROCEPHALUS
G931,"ANOXIC BRAIN DAMAGE, NOT ELSEWHERE CLASSIFIED"
G9340,"ENCEPHALOPATHY, UNSPECIFIED"
G939,"DISORDER OF BRAIN, UNSPECIFIED"
G9511,ACUTE INFARCTION OF SPINAL CORD (EMBOLIC) (NONEMBOLIC)
G9611,DURAL TEAR
G990,AUTONOMIC NEUROPATHY IN DISEASES CLASSIFIED ELSEWHERE
H0013,"CHALAZION RIGHT EYE, UNSPECIFIED EYELID"
H0233,"BLEPHAROCHALASIS RIGHT EYE, UNSPECIFIED EYELID"
H0259,OTHER DISORDERS AFFECTING EYELID FUNCTION
H0264,XANTHELASMA OF LEFT UPPER EYELID
H0283,DERMATOCHALASIS OF EYELID
H0284,EDEMA OF EYELID
H0288,MEIBOMIAN GLAND DYSFUNCTION OF EYELID
H0420,UNSPECIFIED EPIPHORA
H0533,DEFORMITY OF ORBIT DUE TO TRAUMA OR SURGERY
H1031,"UNSPECIFIED ACUTE CONJUNCTIVITIS, RIGHT EYE"
H1042,SIMPLE CHRONIC CONJUNCTIVITIS
H1081,PINGUECULITIS
H1089,OTHER CONJUNCTIVITIS
H109,UNSPECIFIED CONJUNCTIVITIS
H1131,"CONJUNCTIVAL HEMORRHAGE, RIGHT EYE"
H1589,OTHER DISORDERS OF SCLERA
H1623,NEUROTROPHIC KERATOCONJUNCTIVITIS
H1882,CORNEAL DISORDER DUE TO CONTACT LENS
H1883,RECURRENT EROSION OF CORNEA
H2004,SECONDARY NONINFECTIOUS IRIDOCYCLITIS
H2501,CORTICAL AGE-RELATED CATARACT
H2620,UNSPECIFIED COMPLICATED CATARACT
H2621,CATARACT WITH NEOVASCULARIZATION
H2641,SOEMMERING'S RING
H2649,OTHER SECONDARY CATARACT
H269,UNSPECIFIED CATARACT
H2703,"APHAKIA, BILATERAL"
H2712,ANTERIOR DISLOCATION OF LENS
H3010,UNSPECIFIED DISSEMINATED CHORIORETINAL INFLAMMATION
H3513,"RETINOPATHY OF PREMATURITY, STAGE 2"
H3561,"RETINAL HEMORRHAGE, RIGHT EYE"
H3581,RETINAL EDEMA
H4023,INTERMITTENT ANGLE-CLOSURE GLAUCOMA
H4043,"GLAUCOMA SECONDARY TO EYE INFLAMMATION, BILATERAL"
H4322,"CRYSTALLINE DEPOSITS IN VITREOUS BODY, LEFT EYE"
H4382,VITREOMACULAR ADHESION
H4452,ATROPHY OF GLOBE
H4470,"UNSP RETAINED (OLD) INTRAOCULAR FOREIGN BODY, NONMAGNETIC"
H4710,UNSPECIFIED PAPILLEDEMA
H4753,DISORDERS OF VISUAL PATHWAYS IN (DUE TO) VASCULAR DISORDERS
H4923,"SIXTH [ABDUCENT] NERVE PALSY, BILATERAL"
H4943,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA, BILATERAL"
H5011,MONOCULAR EXOTROPIA
H5041,CYCLOTROPIA
H5043,ACCOMMODATIVE COMPONENT IN ESOTROPIA
H5050,UNSPECIFIED HETEROPHORIA
H5122,"INTERNUCLEAR OPHTHALMOPLEGIA, LEFT EYE"
H5222,REGULAR ASTIGMATISM
H5232,ANISEIKONIA
H5312,TRANSIENT VISUAL LOSS
H5330,UNSPECIFIED DISORDER OF BINOCULAR VISION
H5345,OTHER LOCALIZED VISUAL FIELD DEFECT
H5346,HOMONYMOUS BILATERAL FIELD DEFECTS
H5372,IMPAIRED CONTRAST SENSITIVITY
H5410,"BLINDNESS, ONE EYE, LOW VISION OTHER EYE, UNSPECIFIED EYES"
H5700,UNSPECIFIED ANOMALY OF PUPILLARY FUNCTION
H6010,"CELLULITIS OF EXTERNAL EAR, UNSPECIFIED EAR"
H6601,ACUTE SUPPURATIVE OTITIS MEDIA W SPONTANEOUS RUPT EAR DRUM
H6613,"CHRONIC TUBOTYMPANIC SUPPURATIVE OTITIS MEDIA, BILATERAL"
H6980,"OTH DISRD OF EUSTACHIAN TUBE, UNSPECIFIED EAR"
H7012,"CHRONIC MASTOIDITIS, LEFT EAR"
H7090,"UNSPECIFIED MASTOIDITIS, UNSPECIFIED EAR"
H7093,"UNSPECIFIED MASTOIDITIS, BILATERAL"
H7191,"UNSPECIFIED CHOLESTEATOMA, RIGHT EAR"
H7201,"CENTRAL PERFORATION OF TYMPANIC MEMBRANE, RIGHT EAR"
H7492,UNSPECIFIED DISORDER OF LEFT MIDDLE EAR AND MASTOID
H8002,"OTOSCLEROSIS W OVAL WINDOW, NONOBLITERATIVE, LEFT EAR"
H8090,"UNSPECIFIED OTOSCLEROSIS, UNSPECIFIED EAR"
H8109,"MENIERE'S DISEASE, UNSPECIFIED EAR"
H8143,null
H8311,"LABYRINTHINE FISTULA, RIGHT EAR"
H8313,"LABYRINTHINE FISTULA, BILATERAL"
H838X,OTHER SPECIFIED DISEASES OF INNER EAR
H8393,"UNSPECIFIED DISEASE OF INNER EAR, BILATERAL"
H93A9,"PULSATILE TINNITUS, UNSPECIFIED EAR"
I060,RHEUMATIC AORTIC STENOSIS
I10,ESSENTIAL (PRIMARY) HYPERTENSION
I2102,STEMI INVOLVING LEFT ANTERIOR DESCENDING CORONARY ARTERY
I252,OLD MYOCARDIAL INFARCTION
I259,"CHRONIC ISCHEMIC HEART DISEASE, UNSPECIFIED"
I2721,SECONDARY PULMONARY ARTERIAL HYPERTENSION
I2724,CHRONIC THROMBOEMBOLIC PULMONARY HYPERTENSION
I339,"ACUTE AND SUBACUTE ENDOCARDITIS, UNSPECIFIED"
I372,NONRHEUMATIC PULMONARY VALVE STENOSIS WITH INSUFFICIENCY
I38,"ENDOCARDITIS, VALVE UNSPECIFIED"
I420,DILATED CARDIOMYOPATHY
I441,"ATRIOVENTRICULAR BLOCK, SECOND DEGREE"
I4469,OTHER FASCICULAR BLOCK
I468,CARDIAC ARREST DUE TO OTHER UNDERLYING CONDITION
I472,VENTRICULAR TACHYCARDIA
I4721,TORSADES DE POINTES
I492,JUNCTIONAL PREMATURE DEPOLARIZATION
I5081,RIGHT HEART FAILURE
I5089,OTHER HEART FAILURE
I5A,NON-ISCHEMIC MYOCARDIAL INJURY (NON-TRAUMATIC)
I6300,CEREBRAL INFARCTION DUE TO THOMBOS UNSP PRECEREBRAL ARTERY
I6301,CEREBRAL INFARCTION DUE TO THROMBOSIS OF VERTEBRAL ARTERY
I6343,CEREBRAL INFRC DUE TO EMBOLISM OF POSTERIOR CEREBRAL ARTERY
I6344,CEREBRAL INFARCTION DUE TO EMBOLISM OF CEREBELLAR ARTERY
I6601,OCCLUSION AND STENOSIS OF RIGHT MIDDLE CEREBRAL ARTERY
I6609,OCCLUSION AND STENOSIS OF UNSPECIFIED MIDDLE CEREBRAL ARTERY
I6623,OCCLUSION AND STENOSIS OF BI POSTERIOR CEREBRAL ARTERIES
I671,"CEREBRAL ANEURYSM, NONRUPTURED"
I6906,OTH PARALYTIC SYNDROME FOLLOWING NTRM SUBARACH HEMORRHAGE
I6980,UNSPECIFIED SEQUELAE OF OTHER CEREBROVASCULAR DISEASE
I6982,SPEECH/LANG DEFICITS FOLLOWING OTH CEREBROVASCULAR DISEASE
I7061,ATHSCL NONBIOL BYPASS OF THE EXTREMITIES W INTRMT CLAUD
I711,"THORACIC AORTIC ANEURYSM, RUPTURED"
I7143,"INFRARENAL ABDOMINAL AORTIC ANEURYSM, WITHOUT RUPTURE"
I798,"OTH DISORD OF ART,ARTERIOLES & CAPILARE IN DIS CLASSD ELSWHR"
I81,PORTAL VEIN THROMBOSIS
I825Z,CHR EMBLSM AND THOMBOS UNSP DEEP VEINS OF DISTAL LOW EXTRM
I82A1,ACUTE EMBOLISM AND THROMBOSIS OF AXILLARY VEIN
I8300,VARICOSE VEINS OF UNSPECIFIED LOWER EXTREMITY WITH ULCER
I863,VULVAL VARICES
I880,NONSPECIFIC MESENTERIC LYMPHADENITIS
I888,OTHER NONSPECIFIC LYMPHADENITIS
I899,"NONINFECTIVE DISORDER OF LYMPHATIC VESSELS AND NODES, UNSP"
I972,POSTMASTECTOMY LYMPHEDEMA SYNDROME
I9779,OTHER INTRAOPERATIVE CARDIAC FUNCTIONAL DISTURBANCES
I9782,POSTPROCEDURAL CEREBROVASCULAR INFARCTION
J0300,"ACUTE STREPTOCOCCAL TONSILLITIS, UNSPECIFIED"
J060,ACUTE LARYNGOPHARYNGITIS
J069,"ACUTE UPPER RESPIRATORY INFECTION, UNSPECIFIED"
J09X2,FLU DUE TO IDENT NOVEL INFLUENZA A VIRUS W OTH RESP MANIFEST
J1281,PNEUMONIA DUE TO SARS-ASSOCIATED CORONAVIRUS
J1282,PNEUMONIA DUE TO CORONAVIRUS DISEASE 2019
J204,ACUTE BRONCHITIS DUE TO PARAINFLUENZA VIRUS
J331,POLYPOID SINUS DEGENERATION
J3489,OTHER SPECIFIED DISORDERS OF NOSE AND NASAL SINUSES
J351,HYPERTROPHY OF TONSILS
J359,"CHRONIC DISEASE OF TONSILS AND ADENOIDS, UNSPECIFIED"
J36,PERITONSILLAR ABSCESS
J42,UNSPECIFIED CHRONIC BRONCHITIS
J45,ASTHMA
J4531,MILD PERSISTENT ASTHMA WITH (ACUTE) EXACERBATION
J4551,SEVERE PERSISTENT ASTHMA WITH (ACUTE) EXACERBATION
J632,BERYLLIOSIS
J851,ABSCESS OF LUNG WITH PNEUMONIA
J948,OTHER SPECIFIED PLEURAL CONDITIONS
J9692,"RESPIRATORY FAILURE, UNSPECIFIED WITH HYPERCAPNIA"
K007,TEETHING SYNDROME
K011,IMPACTED TEETH
K027,DENTAL ROOT CARIES
K0402,IRREVERSIBLE PULPITIS
K0530,"CHRONIC PERIODONTITIS, UNSPECIFIED"
K062,GINGIVAL & EDENTULOUS ALVEOLAR RIDGE LESIONS ASSOC W TRAUMA
K0810,"COMPLETE LOSS OF TEETH, UNSPECIFIED CAUSE"
K083,RETAINED DENTAL ROOT
K0842,PARTIAL LOSS OF TEETH DUE TO PERIODONTAL DISEASES
K110,ATROPHY OF SALIVARY GLAND
K113,ABSCESS OF SALIVARY GLAND
K1233,ORAL MUCOSITIS (ULCERATIVE) DUE TO RADIATION
K1329,"OTHER DISTURBANCES OF ORAL EPITHELIUM, INCLUDING TONGUE"
K149,"DISEASE OF TONGUE, UNSPECIFIED"
K2090,"ESOPHAGITIS, UNSPECIFIED WITHOUT BLEEDING"
K257,CHRONIC GASTRIC ULCER WITHOUT HEMORRHAGE OR PERFORATION
K262,ACUTE DUODENAL ULCER WITH BOTH HEMORRHAGE AND PERFORATION
K283,ACUTE GASTROJEJUNAL ULCER WITHOUT HEMORRHAGE OR PERFORATION
K2930,CHRONIC SUPERFICIAL GASTRITIS WITHOUT BLEEDING
K2940,CHRONIC ATROPHIC GASTRITIS WITHOUT BLEEDING
K2980,DUODENITIS WITHOUT BLEEDING
